Full Name,IATA Prefix Code,Remarks / Notes,ICAO Code,ICAO Callsign,Country,IATA Code,IATA Accounting Code
"Phoenix Air Group, Inc.",,,PHA,Gray Bird,United States of America,PH,
Polar Airlines OJSC,,"Name changed from Polar Airlines, , State Unitary Enterprise Air Company.Purchased by JSC Airline Yakutia (R3/SYL)",RKA,Air Sakha,Russian Federation,PI,545
Air Saint Pierre,638,Name changed from Air St. Pierre,SPM,,St. Pierre and Miquelon,PJ,638
Pakistan International Airlines,214,,PIA,Pakistan,Pakistan,PK,214
Southern Air Charters Co. Ltd.,,,SOA,South Aircharter,Bahamas,PL,
Canaryfly S.L.,,,CNF,Canary,Spain,PM,
China West Air Ltd.,847,Designator PN instated by IATA,CHB,West China,China,PN,847
Pan American Airways Corp.,,,PAA,Clipper,United States of America,PN,711
"Polar Air Cargo Worldwide, Inc.",403,"Name changed from Polar Air Cargo, Inc.ICAO Callsign changed from Polar Tiger",PAC,Polar,United States of America,PO,
Jet Aviation Business Jets AG,,Name changed from Private Jet Services AG,PJS,Jet Aviation,Switzerland,PP,
SkyUp Airlines,,ICAO code changed from KUP w.e.f. 27 August 2018.,SQP,Skyup,Ukraine,PQ,
"Philippine Airlines, Inc.",079,"Name changed from Philippine Air Lines, Inc. (PAL). ICAO callsgin changed from Filairline",PAL,Philippine,Philippines,PR,079
"Private Stock Company ""Ukraine International Airlines""",566,Name changed from Ukraine International Airlines,AUI,Ukraine International,Ukraine,PS,566
"Piedmont Airlines, Inc.",,IATA designator changed from US,PDT,Piedmont,United States of America,PT,531
"Plus Ultra Lineas Aereas, S.A.",,,PUE,Spanish,Spain,PU,663
"ASL Airlines Spain, S.A.",,"Name changed from PAN AIR Lineas Aereas, S.A. 24 May 2016IATA designator changed from PA",PNR,Skyjet,Spain,PV,
Saint Barth Commuter,,,SBU,Black Fin,St. Barthelemy,PV,
Precision Air Services Ltd.,,,PRF,Precision Air,"Tanzania, United Republic of",PW,031
Air Niugini Pty Limited d/b/a Air Niugini,656,Name changed from Air Niugini,ANG,Niugini,Papua New Guinea,PX,656
Surinam Airways Ltd.,192,,SLM,Surinam,Suriname,PY,192
"TAM - Transportes Aereos del Mercosur, S.A. d/b/a LATAM Airlines Paraguay",692,"Name changed from TAM - Transportes Aereos del Mercosur, S.A.",LAP,Paraguaya,Paraguay,PZ,692
PT. Sqiva Sistem,,Computer Reservation Systems (CRS),,,Indonesia,Q1,
Island Aviation Services Ltd.,986,IATA Prefix code reinstated.,DQA,Island Aviation,Maldives,Q2,
Anguilla Air Services Ltd.,,,AXL,,Anguilla,Q3,
Starlink Aviation Inc.,,,TLK,Starlink,Canada,Q4,
Qatar Amiri Flight,,,QAF,Amiri,Qatar,Q4,
"40-Mile Air, Ltd.",,IATA chaned from 6M,MLA,Mile Air,United States of America,Q5,
Vuela Aviacion S.A. (Volaris Costa Rica),,Air Operator Certificate granted on 10 Nevmber 2016.,VOC,Costa Rican,Costa Rica,Q6,
SkyBahamas Airlines,,,SBM,,Bahamas,Q7,
"Pacific East Asia Cargo Airlines, Inc.",505,Designator Q8 reinstated by IATA,PEC,,Philippines,Q8,
Trans Air Congo (TAC),,Designator Q8* reinstated by IATA,TSG,Trans-Congo,Congo,Q8,223
Kuwait National Airways (K.C.S.) t/a Wataniya Airways,,Received its AOC from Kuwaits DGCA in June 2017.,,Wataniya,Kuwait,Q9,
Cimber A/S,,,CIM,Cimber,Denmark,QA,
"Starlight Airline STP, S.A.",321,,SLT,Starlight Cargo,Sao Tome And Principe,QA,
Qeshm Air,237,ICAO Designator chanegd from IRQ.,QSM,Qeshm Air,Iran,QB,237
Cameroon Airlines Corp - Camair-Co,,Operations started on 28 March 2011.,CRC,Camairco,Cameroon,QC,040
JC (Cambodia) International Airlines,,Planned startup subject to licence approval in April 2017.,JCC,Cambo,Cambodia,QD,009
Qantas Airways Ltd.,081,,QFA,Qantas,Australia,QF,081
PT. Citilink Indonesia,,,CTV,Supergreen,Indonesia,QG,
Bamboo Airways Company Limited,,,BAV,,Vietnam,QH,
"Jet Airways, Inc.",508,,,,United States of America,QJ,
Jazz Aviation LP,,Name chanegd from Air Canada Jazz. ICAO designator changed from JZZName changed from Air Canada Regional Inc. ICAO designator changed from ARN. ICAO callsign changed from Transcan.,JZA,Jazz,Canada,QK,
"Linea Aerea de Servicio Ejecutivo Regional, C.A. (LASER)",,Founded in 1993. commenced operations in 1994.,LER,Laser,Venezuela,QL,
Monacair,,,,,Monaco,QM,
Skytrans Regional Pty Ltd t/a Skytrans Airlines,,Designator Q6 recalled by IATA,SKP,Skytrans,Australia,QN,
Air Armenia CJSC,907,,ARR,Air Armenia,Armenia,QN,907
Quikjet Cargo Airlines Pvt. Ltd.,723,,FQA,,India,QO,
Alliance Airlines PTY Limited,,ICAO designator changed from QQAICAO designator changed from FWQ,UTY,Alli,Australia,QQ,
Qatar Airways (W.L.L.),157,,QTR,Qatari,Qatar,QR,157
"Smartwings, a.s.",,"Name changed from Travel Service, a.s. w.e.f. 10 December 2018.Designator QS reinstated by IATA",TVS,Skytravel,Czech Republic,QS,797
"Transportes Aereos Mercantiles Panamericanos S.A., (TAMPA) t/a Avianca Cargo",729,"Name changed from Transportes Aereos Mercantiles Panamericanos S.A., (TAMPA) w.e.f. 28 May 2013.",TPA,Tampa,Colombia,QT,
Regional Air PTY Ltd.,,,,,Papua New Guinea,QT,
Azur Air Ukraine Airlines LLC,,Name changed from Airline Utair - Ukraine w.e.f. October 2015.,UTN,UT-Ukraine,Ukraine,QU,761
Lao Airlines,627,Name changed from Lao AviationDesignator QV reinstated by IATA,LAO,Lao,Lao People's Democratic Republic,QV,627
"Qingdao Airlines Co., Ltd.",912,,QDA,Sky Legend,China,QW,912
Horizon Air,481,Founded in 1981. Commenced operations on 01 September 1981.,QXE,Horizon Air,United States of America,QX,481
European Air Transport Leipzig GmbH,615,Incorporated by the European Air Transport Leipzig GmbH and merged with it 10 Febraury 2010.,BCS,EuroTrans,Germany,QY,
PT. Indonesia AirAsia,975,Designator QZ reinstated by IATAName changed to from AWAIR International PT / P.T. Air Wagon International,AWQ,Wagon Air,Indonesia,QZ,975
Tantalus Air Ltd. d/b/a Harbour Air Seaplanes,,Part of Harbour Air Group,,,Canada,R0,
"Zapways, Inc.",,Computer Reservation System,,,United States of America,R1,
Groupe Transair S.A.,,,GTS,Transgroup,Senegal,R2,
JSC Airline Yakutia,,Designator Y8* recalled by IATA,SYL,Air Yakutia,Russian Federation,R3,849
RIO Linhas Aereas Ltda.,970,,RIO,,Brazil,R3,
Reliable Unique Services Aviation LLC,827,IATA designator changed from R6,RLB,Reliable,Armenia,R4,
Jordan Enterprise for Air Navigation and Aviation,151,IATA designator changed from R5,JAV,Jordan Aviation,Jordan,R5,151
"Joint Stock Company Airlines ""DOT LT""",,Name changed from Danu Oro TransportasIATA designator changed from W3,DNU,Danu,Lithuania,R6,
CHEP Aerospace Solutions Switzerland,,Name changed from Unitpool AG.Non-airline Unit Load Device (ULD) companies,,,Switzerland,R7,
"Sundance Air Venezuela, S.A.",785,,SUV,Danceair,Venezuela,R8,
Trans Executive Airline of Hawaii t/a transair Express,,ICAO callsign changed from Maui.Designator 5H recalled by IATA,MUI,Transair,United States of America,R9,
Nepal Airlines Corporation t/a Nepal Airlines,285,Name changed from Royal Nepal Airlines CorporationFounded in 1958. Designator RA reinstated by IATA,RNA,Royal Nepal,Nepal,RA,285
Syrian Arab Airlines,070,,SYR,Syrianair,Syrian Arab Republic,RB,070
Atlantic Airways Faroe Islands,767,,FLI,Faroeline,Faroe Islands,RC,767
Stobart Air (Comhforbairt Gaillimh),,Name changed from Cornharbairl Gaillimh Teo d/b/a Aer Arann. ICAO designator changed from REA w.e.f. 04 August 2014.Operates as Aer Arann Express. Designator RE reinstated by IATA,STK,Stobart,Ireland,RE,743
Erofey LLC t/a E-Cargo Airlines,358,,ERF,Gulliver,Russian Federation,RF,
Rotana Jet Aviation d/b/a Rotana Jet,,,RJD,Rotana,United Arab Emirates,RG,482
"Hong Kong Air Cargo Co., Ltd.",828,,HKC,Mascot,China,RH,
Rahila Air,,,RIH,Rahila,Libyan Arab Jamahiriya,RI,713
Royal Jordanian (Alia - The Royal Jordanian Airline),512,Name changed from ALIA - Royal Jordanian Airline,RJA,Jordanian,Jordan,RJ,512
Ryanair UK Limited,,,RUK,Blue Max,United Kingdom,RK,
Royal Khmer Airlines,,Designator RK reinstated by IATADesignator FE recalled by IATA,RKH,Khmer Air,Cambodia,RK,
CJSC Royal Flight Airlines,,"IATA Designator changed from 4R.Name changed from Joint Stock Company ""Abakan-Avia""",ABG,Royal Flight,Russian Federation,RL,
Aircompany Armenia LLC,,,NGT,Nika,Armenia,RM,
"Air Pohang Co., Ltd.",,Commenced operations on 07 February 2018.,KAB,Air Pohang,"Korea, Republic of",RN,
TAROM - Romanian Air Transport,281,,ROT,Tarom,Romania,RO,281
Budapest Aircraft Service Ltd.,,,BPS,Base,Hungary,RP,
Kam Air,384,,KMF,Kamgar,Afghanistan,RQ,384
Ryanair Sun S.A.,,,RYS,Magic Sun,Poland,RR,
"Air Seoul, Inc.",,,ASV,Air Seoul,"Korea, Republic of",RS,
JSC UVT aero,,Air Operators licence issued on 8th of July 2015.,UVT,Tat-Jet,Russian Federation,RT,
AirBridge Cargo Airlines Limited,580,IATA designator changed from BOFounded in 2004.,ABW,AirBridge Cargo,Russian Federation,RU,
Air Canada rouge LP,,Name changed from 8165343 Canada Inc. dba Air Canada rouge w.e.f. 09 January 2014.,ROU,Rouge,Canada,RV,
"Royal Air Charter Service, Inc.",,,RYL,Double Gold,Philippines,RW,
HG Aviation Limited,,,RGE,Regent,Bangladesh,RX,652
Jiangxi Air Company Limited d/b/a Jiangxi Air,989,Founded in 2014. Commenced operations on 29 January 2016.,CJX,Air Crane,China,RY,989
Servicios Aereos Nacionales S.A. SANSA,,Designator RZ* recalled by IATADesignator RZ* reinstated by IATA,LRS,,Costa Rica,RZ,684
"Aerolineas Sosa, S.A. de C.V.",,,,,Mexico,S0,
Slok Air International (Gambia) Limited,,Name changed from Slok Air InternationalIncorporated on 17th September 1996. Commenced operations on 24th of September 2004.,OKS,,The Gambia,S0,503
Jet Lite (India) Limited,705,Name changed from Sahara Airlines Limited. ICAO designator changed from RSH,JLL,Lite Jet,India,S2,705
"SATA International Servicos e Transportes Aereos, S.A. t/a Azores Airlines",331,"Name changed from SATA International Servicos e Transportes Aereos, S.A.",RZO,Air Azores,Portugal,S4,331
Sunrise Airways S.A.,,,KSZ,,Haiti,S6,
Siberia Airlines PJSC,421,Name changed from S7 Airlines. Siberia Airlines JSC. Name changed from Siberia Airlines - Sibir AirlinesICAO callsign hanged from Siberia Airlines,SBI,Siberian Airlines,Russian Federation,S7,421
Sounds Air Travel  Tourism Ltd.,,,,,New Zealnad,S8,
Sky Capital Airlines Ltd.,442,Founded in 2009. Commenced operations on 26 January 2010.,AHW,Sky Capital,Bangladesh,S8,
Aero Survey Ltd t/a Starbow,759,Name changed from Aero Survey LtdICAO callsign changed from Ghana Survey,IKM,Easy Shuttle,Ghana,S9,759
Air Company LLC Silk Road Cargo Business,939,,URS,Silk Cargo,Uzbekistan,S9,
South African Airways,083,,SAA,Springbok,South Africa,SA,083
Air Caledonie International,063,ICAO designator changed from RKL,ACI,Air Calin,New Caledonia,SB,063
Shandong Airlines,324,,CDG,Shandong,China,SC,324
Sudan Airways Co. Ltd.,200,,SUD,Sudanair,Sudan,SD,200
XL Airways France,473,Name changed from STAR Airlines. ICAO designator changed from SEU.Name changed from STAR Europe (Societe de Transport Aerien Regional) IATA Designator changed from 2R,XLF,Starway,France,SE,473
Tassili Airlines,,,DTH,Tassili Air,Algeria,SF,515
SpiceJet Ltd,775,ICAO designator changed from MOD. ICAO callsign changed to Modiluft.Name changed from Royal Airlines Limited. IATA designator changed from 0S.,SEJ,Spicejet,India,SG,775
Sharp Aviation Pty. Ltd t/a Sharp Airlines,,,,,Australia,SH,
Airx Limited t/a Blue Islands,,Name changed from Airx Limited t/a Lecocqs.com and then from Airx Limited t/a Rockhopper. IATA designator changed from AX*.ICAO designator changed from XAX,BCI,Blue Island,United Kingdom,SI,
Sriwijaya Air PT,977,Designator SJ reinstated by IATA,SJY,Sriwijaya,Indonesia,SJ,977
Scandinavian Airlines System (SAS),117,,SAS,Scandinavian,Sweden,SK,117
Thai Lion Mentari Co. Ltd.,,,TLM,Mentari,Thailand,SL,310
Air Cairo,381,IATA designator changed to SMFounded in 2003,MSC,,Egypt,SM,381
Brussels Airlines N.V.,082,"ICAO Desginator changed from DAT. Name changed from Delta Air Transport N.V. t/a Brussels AirlinesIATA designator changed from QG, ICAO designator changed from DAT",BEL,Beeline,Belgium,SN,082
Apex Airline Public Company Limited,,Incorporated on 27th November 2012. Commenced operations in March 2015.,,,Myanmar,SO,
Syphax Airlines S.A.,,Planned to start operations with 2 x CRJ-900.,,,Tunisia,SO,
SATA - Air Acores,737,,SAT,SATA,Portugal,SP,737
Singapore Airlines Limited,618,Name changed from Singapore Airlines,SIA,Singapore,Singapore,SQ,618
Singapore Airlines Cargo PTE Ltd.,618,,SQC,Singcargo,Singapore,SQ,
Sundair GmbH,,Commenced operations on 27 September 2017.,SDR,Sundair,Germany,SR,
Corse Air International,923,IATA designator changed from CS. ICAO callsign changed from Charlie Sierra,CRL,Corsair,France,SS,923
"PJSC ""Aeroflot""",555,Name changed from JSC Aeroflot - Russian Airlines w.e.f. 14 August 2015. Name changed from Aeroflot Russian AirlinesName changed from Aeroflot - Russian International Airlines,AFL,Aeroflot,Russian Federation,SU,555
Saudi Arabian Airlines,065,Name changed from Saudi Arabian Airlines Corporation,SVA,Saudia,Saudi Arabia,SV,065
Air Namibia,186,,NMB,Namibia,Namibia,SW,186
Skywork SA,,,SRK,Skyfox,Switzerland,SX,
"Skywagon Corporation, Inc.",906,,,,United States of America,SX,
"MN Airlines, LLC d/b/a Sun Country Airlines",337,Name changed from Sun Country Airlines w.e.f. July 2011.,SCX,Sun Country,United States of America,SY,337
Aircompany Somon Air LLC,413,IATA designator changed from 4J.,SMR,Somon Air,Tajikistan,SZ,413
"Trans American Airlines, S.A. Avianca Peru",530,"Name changed from Trans American Airlines, S.A. TACA Peru.Established in 1999. Commenced operations in July 1999.",TPU,Trans Peru,Peru,T0,530
Tik Systems (Thailand) Co. Ltd.,,Computer Reservation System (CRS).,,,Thailand,T1,
Fly Art Aviation,,,FLB,Rossignol,Chad,T2,
Nakina Outpost Camp  Air Service Ltd. d/b/a Nakina Air Service,,Designator T2* reinstated by IATA,,,Canada,T2,
Eastern Airways Limited,,Formerly Air Kilroe Ltd.,EZE,Eastflight,United Kingdom,T3,467
"Rhoades Aviation, Inc. d/b/a transair",,,RDS,Rhoades Express,United States of America,T4,
Turkmenistan Airlines,542,Designator T5 reinstated by IATAICAO designator changed from AKH,TUA,Turkmenistan,Turkmenistan,T5,542
"AirSWIFT Transport, Inc.",,"Name changed from Island Transvoyager, Inc. ICAO Designator changed from ITI. ICAO Callsign changed from Trans Voyager. w.e.f. October 2015.",ATX,Airswift,Philippines,T6,
Twin Jet,294,,TJT,Twinjet,France,T7,
"Transcarga International Airways, C.A.",382,,TIW,TIACA,Venezuela,T7,
"MCS Aerocarga de Mexico, S.A. de C.V.",137,,,,Mexico,T8,
Turpial Airlines,,,VTU,Turpial,Venezuela,T9,067
Avianca Central America,202,"Name changed from Avianca El Salvador and previously TACA International Airlines, S.A.",TAI,Taca,El Salvador,TA,202
Tara Air Pvt. Ltd,,,,Tara Air,Nepal,TB,
TUI Airlines Belgium NV,,Name changed from TUI Airlines Belgium t/a Jetairfly w.e.f. 19 October 2016.Name changed from TUI Airlines Belgium. ICAO code changed from TUB w.e.f. 31/10/2006,JAF,Beauty,Belgium,TB,612
Air Tanzania Company Ltd.,197,Name changed from Air Tanzania CorporationICAO callsign changed from Tango Charlie,ATC,Tanzania,"Tanzania, United Republic of",TC,197
Atlantis European Airways LLC,,ICAO Designator changed from ALSDesignator TD reinstated by IATA,LUR,Atlantis Liner,Armenia,TD,432
Tulip Air B.V.,,,TLP,Tulipair,Netherlands,TD,
SkyTaxi sp. z.o.o.,,,IGA,iguana,Poland,TE,
Braathens Regional Aviation AB,,Name changed from Malmo Aviation ABDesignator 6E recalled by IATA / Name and ICAO callsign changed. Name changed fron Braathens Malmo Aviation AB,SCW,Scanwings,Sweden,TF,276
Thai Airways International Public Company Ltd.,217,,THA,Thai,Thailand,TG,217
Raya Airways Sdn. Bhd. d/b/a Raya Airways,539,Name changed from Transmile Air Services.,RMY,Raya Express,Malaysia,TH,
TACA Costa Rica Anonima,,Name changed from Transportes Aereos del Continente Americano - TACA Costa Rica,TAT,TACA-Costarica,Costa Rica,TI,
"Tropic Ocean Airways, LLC.",,,,,United States of America,TI,
Tailwind Hava Yollari A.S.,768,,TWI,Tailwind,Turkey,TI,
Tradewind Aviation LLC,,,GPD,,United States of America,TJ,
"Turkish Airlines, Inc.",235,Name changed from Turk Hava Yollari (Turkish Airlines)ICAO callsign changed from Turkair,THY,Turkish,Turkey,TK,235
Airnorth Regional,935,,ANO,Topend,Australia,TL,935
LAM - Linhas Aereas de Mocambique,068,Name changed from Direccao de Exploacao doe Transportes Aereos (DETA),LAM,Mozambique,Mozambique,TM,068
Air Tahiti Nui,244,,THT,Tahiti Airlines,French Polynesia,TN,244
Transavia France S.A.S.,,Desginator TO reinstated by IATA,TVF,France Soleil,France,TO,
TAP Portugal,047,Name changed from TAP - Air Portugal,TAP,Air Portugal,Portugal,TP,047
Tandem Aero Ltd.,038,Designator TQ reinstated by IATA,TDM,Tandem,"Moldova, Republic of",TQ,038
Scoot Tigerair Pte. Ltd.,668,Name change from Tiger Airways Singapore Pte Ltd t/a Tigerair.,TGW,Stripe,Singapore,TR,668
Air Transat,649,,TSC,Transat,Canada,TS,649
Tiger Airways Australia Pty Ltd t/a Tigerair Australia,,Commenced operations on 23 November 2007,TGG,Tiggoz,Australia,TT,
Tunisair,199,,TAR,Tunair,Tunisia,TU,199
Tibet Airlines Corporation Limited,,,TBA,Tibet,China,TV,088
T'Way Air Co. Ltd.,,,TWB,Teeway,"Korea, Republic of",TW,
Air Caraibes,427,Name changed from La Caribeenne des Transport AériensName change from Societe Nouvelle Air Gaudeloupe,FWI,French West,Guadeloupe,TX,427
Air Caledonie,190,Designator TY reinstated by IATA,TPC,Aircal,New Caledonia,TY,190
Tsaradia,852,Domestic subsidary of Air Madagascar,TDS,Tsaradia,Madagascar,TZ,852
Videcom International Limited,,Computer Reservation System (CRS).,,,United Kingdom,U1,
"UFS, Inc.",,,UFS,Feeder Flight,United States of America,U2,
Easyjet Airline Company Limited,,Designator U2* reinstated by IATA,EZY,Easy,United Kingdom,U2,
"Air Company ""Sky Gates Airlines"" LLC",728,AOC issued on 14 September 2016,SAY,Sky Path,Russian Federation,U3,
Paramount Jet Ltd,,,,,United States of America,U3,
Buddha Air Pvt. Ltd.,,,BHA,Buddha Air,Nepal,U4,
Karinou Airlines,,,KRN,,Central African Republic,U5,
Ural Airlines,,,SVR,Sverdlovsk Air,Russian Federation,U6,262
"Uniworld Commercial Group, S.A. (Uniworld Air Cargo)",399,,UCG,Uniworld,Panama,U7,
Tus Airways Ltd.,,Established in June 2015.,CYF,Tus Air,Cyprus,U8,
Unilode Aviation Solutions Netherlands BV,,Non-airline Unit Load Devices (ULD) companies,,,Netherlands,U9,
"United Airlines, Inc.",016,"Name changed from United Air Lines, Inc.",UAL,United,United States of America,UA,016
Myanmar National Airlines,,Name changed from Myanmar Airways,UBA,Unionair,Myanmar,UB,665
LAN Cargo S.A. d/b/a LATAM Cargo Chile,527,Name changed from LAN Cargo S.A. w.e.f. 05 May 2016.,LCO,,Chile,UC,
Owenair (Pty) Ltd.,,,OWE,Owenair,South Africa,UD,
Ultimate Jetcharters LLC dba Ultimate Air Shuttle,,"Name changed from Ultimate Jetcharters, Inc.IATA designator changed from UI.",UJC,Ultimate,United States of America,UE,327
Petroleum Air Services,,The airline was established and started operations in 1982,PER,Pas Air,Egypt,UF,
Tunisair Express,,Formerly Tuninter and Sevenair,TUX,Tunexpress,Tunisia,UG,
AtlasJet Ukraine,500,,UJX,Atlas Ukraine,Ukraine,UH,500
Auric Air Services Limited,,,AUK,Auric Services,"Tanzania, United Republic of",UI,
Almasria Universal Airlines,,,LMU,Almasria,Egypt,UJ,
"USA Jet Airlines, Inc.",,Designator U7 recalled by IATA,JUS,Jet USA,United States of America,UJ,
TATA SIA Airlines Limited t/a Vistara,228,Joint venture between India's Tata Sons and Singapore Airlines.,VTI,Vistara,India,UK,228
SriLankan Airlines Limited,603,Formerly Air Lanka Limited.,ALK,Srilankan,Sri Lanka,UL,603
Air Zimbabwe (PVT) Ltd.,168,Name changed from Air Zimbabwe Corporation,AZW,Air Zimbabwe,Zimbabwe,UM,168
Hong Kong Express Airways Ltd,,,HKE,Hongkong Shuttle,Hong Kong,UO,
Bahamasair Holdings Limited,111,Name changed from BahamasairDesignator UP reinstated by IATA,BHS,Bahamas,Bahamas,UP,111
Urumqi Airlines Co. Ltd.,886,,CUH,Loulan,China,UQ,886
Utair Aviation Joint-Stock Company,298,IATA desigantor changed from P2. ICAO desigantor changed from TMN. Name changed from Tyumenavyatrans Aviation Joint-Stock CompanyName changed from Joint Stock Air Carrier Company Tjumenaviatrans,UTA,Tjumavi,Russian Federation,UT,298
Air Austral,760,Formerly Air Reunion,REU,Reunion,Reunion Island,UU,760
"Universal Airways, Inc.",,,UVA,Universal,United States of America,UV,
Babcock Mission Critical Services España.,,"Name changed from INAER Helicopteros, S.A. Previosly name changed from Helicopteros del Sureste, S.A. ICAO designator changed from HSE.",INR,Inaer Helicopteros,Spain,UV,662
Uni-Top Airlines,,,UTP,Uni-Top,China,UW,
"Air Europa Lineas Aereas, S.A.",996,,AEA,Europa,Spain,UX,996
Sky Prime Aviation Services,,,SPD,Sky Prime,Saudi Arabia,UY,532
Buraq Air Transport (BRQ),928,Designator UZ reinstated by IATA,BRQ,Buraqair,Libyan Arab Jamahiriya,UZ,928
Conviasa,308,Designator V0 reinstated by IATA,VCV,,Venezuela,V0,308
"IBS Software Services Americas, Inc",,Computer Reservations Systems (CRS).,,,United States of America,V1,
Avialeasing Aviation Company,552,,TWN,Twinarrow,Uzbekistan,V2,
"Carpatair, S.A.",,"ICAO designator changed form VEG, Name changed from Veg Air S.R.L.ICAO callsign changed from Vegflight",KRP,Carpatair,Romania,V3,021
"Vensecar Internacional, C.A.",946,,VEC,Vecar,Venezuela,V4,
"Vieques Air Link, Inc.",,Designator VI recalled by IATA,VES,Vieques,Puerto Rico,V4,
Aerovias DAP - La Aerolineas de la Patagonia,,Founded in 1979.,DAP,DAP,Chile,V5,
Clairmont Holdings Ltd dba VI Air Link,,,VIL,Turtle Dove,Virgin Islands (British),V6,
"Volotea, S.A.",,Name changed from Alaeo S.L. t/a Volotea AirlinesFounded 2011. Commenced operations on 5 April 2012,VOE,Volotea,Spain,V7,712
OOO ATRAN,868,Name changed from ATRAN-Aviatrans Cargo Airlines,VAS,Atran,Russian Federation,V8,868
"Iliamna Air Taxi, Inc.",,IATA designator changed from LS,IAR,Iliamna Air,United States of America,V8,
Van Air Europe a.s.,,Founded in 2004.,VAA,Eurovan,Czech Republic,V9,
Virgin Australia International Airlines Pty Ltd,795,,VOZ,Velocity,Australia,VA,795
"Aeroenlaces Nacionales, S.A. de C.V. t/a viva aerobus",,ICAO designator changed from AEN,VIV,,Mexico,VB,
"Charter Air Transport, Inc. d/b/a Via Airlines",,"Name changed from Charter Air Transport, Inc.",SRY,Stingray,United States of America,VC,359
Easyfly S.A. (Empresa Aerea de Servicios Y Facilitacion Logistica Integral S.A.),,,EFY,,Colombia,VE,
FlyViking AS,,Owned by Viking Air Norway AS. Due to commence service in March 2017.,FVK,Balder,Norway,VF,
SHS Antwerp Aviation N.V. d/b/a VLM Air Lines,,,VLM,Rubens,Belgium,VG,
Fast Colombia S.A.S d/b/a Viva Air Colombia,,IATA designtor changed from FC*. Name changed to Viva Air Colombia.,VVC,Viva Colombia,Colombia,VH,641
Volga-Dnepr Airline Joint Stock,412,ICAO callsign chanegd from Volga-Dnepr.Name changed from Joint Stock Airline Volga-Dnepr,VDA,Volga,Russian Federation,VI,
Vietjet Aviation Joint Stock Company,978,Commenced Ops 25/12/2011,VJC,Vietjetair,Vietnam,VJ,978
Anisec Luftfahrt GmbH t/a Vueling Austria,,,FOO,Austrojet,Austria,VK,013
Med View Airline PLC,,Name changed from Med-View Airlines (Nigeria) Ltd.,MEV,Med-View,Nigeria,VL,429
Max Air Limited,,,NGL,Maxair Nigeria,Nigeria,VM,
Vietnam Airlines Corporation,738,,HVN,Vietnam Airlines,Vietnam,VN,738
VLM Airlines d.d.,,AOC granted 11 May 2017.100% owned by SHS Antwerp Aviation NV.,WLM,Ribica,Slovenia,VO,333
Villa Air Private Limited t/a flyme,,,VQI,Villa Air,Maldives,VP,
Novoair Limited,,Founded	2012. Commenced operations 09/02/2013.,NVQ,Novo Air,Bangladesh,VQ,
Transportes Aereos de Cabo Verde (TACV),696,Designator VR reinstated by IATA,TCV,Caboverbe,Cabo Verde Islands,VR,696
Virgin Atlantic Airways Limited,932,,VIR,Virgin,United Kingdom,VS,932
Air Tahiti,135,Name changed from Air Polynesie (Tahiti),VTA,Air Tahiti,French Polynesia,VT,135
Viva Airlines Peru S.A.C.,,Planned launch in 2017 by Irelandia Aviation.,VPE,Viva Peru,Peru,VV,343
"Transportes Aeromar, S.A. de C.V.",,,TAO,Trans-Aeromar,Mexico,VW,926
Virgin America,984,w.e.f. 11 January 2018 will start to using IATA/ICAO codes AS/ASA and ICAO Callsign Alaska.,VRD,Redwood,United States of America,VX,984
"Vueling Airlines, S.A.",030,,VLG,Vueling,Spain,VY,030
"Thai Vietjet Air Joint Stock Co., Ltd.",863,IATA Designator changed from V9,TVJ,Thaiviet Jet,Thailand,VZ,863
"Aero V.I.P. Companhia de Transportes e Servicos Aereos, S.A.",510,,RVP,Aerovip,Portugal,VZ,
World Ticket Ltd,,Computer Reservations Systems (CRS),,,Denmark,W1,
Flexflight ApS,,IATA designator FZ and Accounting code recalled by IATA,FXT,,Denmark,W2,365
Arik Air,725,Operations restartedCeased Operations 20/09/2012,ARA,Arik Air,Nigeria,W3,725
Mahan Airlines,537,,IRM,Mahan Air,Iran,W5,537
Wizz Air Ltd.,,,WZZ,Wizz Air,Hungary,W6,
Wings of Lebanon S.a.l.,,Designator L4 recalled by IATA,WLB,,Lebanon,W7,
Cargojet Airways Ltd.,489,Name changed from Winnport Logistics Ltd. ICAO Code changed from WNT. ICAO callsign changed to Winnport.Name changed to Kelowna Flightcraft International Air Cargo Ltd.,CJT,Cargojet,Canada,W8,
Wizz Air UK Limited,,,WUK,Wizz Go,United Kingdom,W9,
Air Bagan Limited,017,Designator W9* reinstated by IATA,JAB,Air Bagan,Myanmar,W9,017
KLM Cityhopper,,Name changed from KLM Cityhopper B.V. (KLM Commuter)IATA designator changed from HN / ICAO desigantor changed from NLM,KLC,City,Netherlands,WA,
Wings Aviation Limited t/a Air guyana,,,WOL,Wingjet,Guyana,WA,286
RwandAir Limited,,Commence operation on 01 December 2002. Name changed from Rwandair Express in March 2009IATA code changed from WB,RWD,Rwandair,Rwanda,WB,459
Avianca Honduras,506,Designator WC reinstated by IATAFounded in 1981. Name changed from Islena de Inversiones S.A. de C.V. d/b/a Islena Airlines,ISV,,Honduras,WC,506
Modern Transporte Aereo De Carga S.A. d/b/a Modern Logistics,,,MWM,Modernair,Brazil,WD,
"Centurion Air Cargo, Inc.",307,Name changed from Challenge Air Cargo Inc w.e.f. 20 July 2001.Desginator WE reinstated by IATA,CWC,Challenge Cargo,United States of America,WE,
